iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population
AFG,Asia,Afghanistan,12/4/2023,211630,118,128.143,7884,5145.546,2.869,191.691,0,,,,,,,,,,,,,,,,,,16625558,14559029,13846468,1036742,,40.42,35.4,33.67,2.52,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772
OWID_AFR,,Africa,12/4/2023,13074358,0,81.714,258841,9163.82,0,181.422,0,,,,,,,,,,,,,,,,,,800667952,520718996,431751088,85116872,111216,56.12,36.5,30.26,5.97,,,,,,,,,,,,,,,1426736614
ALB,Europe,Albania,12/4/2023,333897,0,0,3604,117473.485,0,1267.979,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318
DZA,Africa,Algeria,12/4/2023,271613,0,2.714,6881,6048.852,0,153.241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228
ASM,Oceania,American Samoa,12/4/2023,8326,0,0,34,187967.039,0,767.581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295
AND,Europe,Andorra,12/4/2023,47939,0,1.286,159,600415.816,0,1991.408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843
AGO,Africa,Angola,12/4/2023,105353,0,3.143,1934,2960.269,0,54.343,0,,,,,,,,,,,,,,,,,,25042414,15590125,8684976,1918963,,70.37,43.81,24.4,5.39,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996
AIA,North America,Anguilla,12/4/2023,3904,0,0,12,245890.282,0,755.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877
ATG,North America,Antigua and Barbuda,12/4/2023,9106,0,0,146,97107.879,0,1556.968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772
ARG,South America,Argentina,14-04-23,10044957,0,0,130472,220718.205,0,2866.866,0,,,,,,,,,,,,,,,,,,115337304,41486157,34868338,36153506,8709,253.43,91.16,76.62,79.44,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324
ARM,Asia,Armenia,12/4/2023,448707,0,0,8743,161377.996,0,3144.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472
ABW,North America,Aruba,14-04-23,44114,0,0,287,414375.487,0,2695.874,0,,,,,,,,,,,,,,,,,,174621,90390,84231,,12,164.03,84.91,79.12,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459
OWID_ASI,,Asia,15-04-23,295846519,0,20616.429,1628478,62660.982,0,344.915,0,,,,,,,,,,,,,,,,,,9003295549,3667468969,3437620543,1788334368,36750,190.69,77.68,72.81,37.88,,,,,,,,,,,,,,,4721383370
AUS,Oceania,Australia,13-04-23,11153745,0,0,19906,426082.832,0,760.427,0,42,1.604,1943,74.224,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410
AUT,Europe,Austria,15-04-23,6046956,677,1286.429,22183,676422.267,75.73,2481.426,0,34,3.803,617,69.019,,,,,,,,,,,,,,,,,,,,,,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617
AZE,Asia,Azerbaijan,12/4/2023,830367,0,58.857,10197,80166.127,0,984.449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,10358078
BHS,North America,Bahamas,12/4/2023,37491,0,0,833,91443.917,0,2031.762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989
BHR,Asia,Bahrain,12/4/2023,696614,0,0,1536,473167.024,0,1043.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,1472237
BGD,Asia,Bangladesh,13-04-23,2038091,0,4.286,29446,11905.685,0,172.011,0,,,,,,,,,,,,,,,,,,357976210,151318723,139775074,67463955,76144,209.11,88.39,81.65,39.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,171186368
BRB,North America,Barbados,12/4/2023,107332,0,0,582,381088.317,0,2066.424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646
BLR,Europe,Belarus,12/4/2023,994037,0,0,7118,104251.871,0,746.516,0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,9534956
BEL,Europe,Belgium,12/4/2023,4782863,0,81.857,34115,410337.56,0,2926.838,0,78,6.692,1312,112.561,,,586,50.275,,,,,,,,,,29630914,9266250,9168591,11626756,30,254.21,79.5,78.66,99.75,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923
BLZ,North America,Belize,12/4/2023,70782,0,0,688,174647.47,0,1697.571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285
BEN,Africa,Benin,12/4/2023,28014,0,0,163,2097.977,0,12.207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864
BMU,North America,Bermuda,12/4/2023,18860,0,1.571,165,293737.443,0,2569.813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,64207
BTN,Asia,Bhutan,12/4/2023,62650,0,0.143,21,80068.298,0,26.839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457
BOL,South America,Bolivia,12/4/2023,1195880,0,0,22374,97829.585,0,1830.317,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114
BES,North America,Bonaire Sint Eustatius and Saba,12/4/2023,11885,0,0,41,439339.051,0,1515.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052
BIH,Europe,Bosnia and Herzegovina,12/4/2023,402636,0,5.857,16328,124519.024,0,5049.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530
BWA,Africa,Botswana,12/4/2023,329837,0,0,2795,125399.004,0,1062.616,0,,,,,,,,,,,,,,,,,,3171667,1949782,1659686,506383,,120.58,74.13,63.1,19.25,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300
BRA,South America,Brazil,12/4/2023,37319254,60591,8655.857,700556,173325.19,281.408,3253.656,1.472,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504
VGB,North America,British Virgin Islands,12/4/2023,7305,0,0,64,233148.219,0,2042.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332
BRN,Asia,Brunei,12/4/2023,284632,0,0,153,633921.452,0,340.756,0,,,,,,,,,,,,,,,,,,,,,,,,,,,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002
BGR,Europe,Bulgaria,15-04-23,1301475,248,140.714,38282,191902.63,36.568,5644.685,0,38,5.603,340,50.133,,,,,,,,,,,,,,4611374,,2076903,,2,67.99,,30.62,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955
BFA,Africa,Burkina Faso,12/4/2023,22056,0,0,396,972.754,0,17.465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764
