continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population
Asia,Afghanistan,04-12-2023,211630.0,118.0,128.143,7884.0,5145.546,2.869,191.691,0.0,16625558.0,14559029.0,13846468.0,1036742.0,0.0,40.42,35.4,33.67,2.52,54.422,18.6,2.581,1.337,1803.987,0.0,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.511,41128772
Europe,Albania,04-12-2023,333897.0,0.0,0.0,3604.0,117473.485,0.0,1267.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0.0,2.89,78.57,0.795,2842318
Africa,Algeria,04-12-2023,271613.0,0.0,2.714,6881.0,6048.852,0.0,153.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228
Oceania,American Samoa,04-12-2023,8326.0,0.0,0.0,34.0,187967.039,0.0,767.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.205,0.0,0.0,0.0,0.0,0.0,283.75,0.0,0.0,0.0,0.0,0.0,73.74,0.0,44295
Europe,Andorra,04-12-2023,47939.0,0.0,1.286,159.0,600415.816,0.0,1991.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.755,0.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.868,79843
Africa,Angola,04-12-2023,105353.0,0.0,3.143,1934.0,2960.269,0.0,54.343,0.0,25042414.0,15590125.0,8684976.0,1918963.0,0.0,70.37,43.81,24.4,5.39,23.89,16.8,2.405,1.362,5819.495,0.0,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581,35588996
North America,Anguilla,04-12-2023,3904.0,0.0,0.0,12.0,245890.282,0.0,755.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0,15877
North America,Antigua and Barbuda,04-12-2023,9106.0,0.0,0.0,146.0,97107.879,0.0,1556.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.845,32.1,6.933,4.631,21490.943,0.0,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.778,93772
South America,Argentina,14-04-2023,10044957.0,0.0,0.0,130472.0,220718.205,0.0,2866.866,0.0,115337304.0,41486157.0,34868338.0,36153506.0,8709.0,253.43,91.16,76.62,79.44,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.845,45510324
Asia,Armenia,04-12-2023,448707.0,0.0,0.0,8743.0,161377.996,0.0,3144.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472
North America,Aruba,14-04-2023,44114.0,0.0,0.0,287.0,414375.487,0.0,2695.874,0.0,174621.0,90390.0,84231.0,0.0,12.0,164.03,84.91,79.12,0.0,584.8,41.2,13.085,7.452,35973.781,0.0,0.0,11.62,0.0,0.0,0.0,0.0,76.29,0.0,106459
Oceania,Australia,13-04-2023,11153745.0,0.0,0.0,19906.0,426082.832,0.0,760.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,83.44,0.944,26177410
Europe,Austria,15-04-2023,6046956.0,677.0,1286.429,22183.0,676422.267,75.73,2481.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0.0,7.37,81.54,0.922,8939617
Asia,Azerbaijan,04-12-2023,830367.0,0.0,58.857,10197.0,80166.127,0.0,984.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.309,32.4,6.018,3.871,15847.419,0.0,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078
North America,Bahamas,04-12-2023,37491.0,0.0,0.0,833.0,91443.917,0.0,2031.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.497,34.3,8.996,5.2,27717.847,0.0,235.954,13.17,3.1,20.4,0.0,2.9,73.92,0.814,409989
Asia,Bahrain,04-12-2023,696614.0,0.0,0.0,1536.0,473167.024,0.0,1043.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.907,32.4,2.372,1.387,43290.705,0.0,151.689,16.52,5.8,37.6,0.0,2.0,77.29,0.852,1472237
Asia,Bangladesh,13-04-2023,2038091.0,0.0,4.286,29446.0,11905.685,0.0,172.011,0.0,357976210.0,151318723.0,139775074.0,67463955.0,76144.0,209.11,88.39,81.65,39.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368
North America,Barbados,04-12-2023,107332.0,0.0,0.0,582.0,381088.317,0.0,2066.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.463,39.8,14.952,9.473,16978.068,0.0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646
